"id_produto","Categoria","Nome do Produto","Descrição do Produto"
"1","Materiais Básicos","Cimento CPII-F 50kg","Cimento Portland de alta resistência, ideal para rebocos, contrapisos e concreto estrutural."
"2","Materiais Básicos","Areia Média Lavada (Saco 20kg)","Areia de granulometria média, utilizada para fabricação de concreto e argamassas em geral."
"3","Materiais Básicos","Brita 1 (Saco 20kg)","Pedra britada tipo 1, principal agregado para produção de concreto para lajes, vigas e pilares."
"4","Materiais Básicos","Tijolo Baiano 9 Furos (Unidade)","Tijolo cerâmico com furos, utilizado em alvenaria de vedação. Dimensões: 19x19x9 cm."
"5","Materiais Básicos","Bloco de Concreto Estrutural 14x19x39cm","Bloco de cimento para alvenaria estrutural, garantindo segurança e rapidez na obra."
"6","Materiais Básicos","Vergalhão de Aço CA-50 10mm (Barra 12m)","Barra de aço nervurada para armaduras de concreto armado em lajes, vigas e fundações."
"7","Materiais Básicos","Argamassa Colante AC-I 20kg","Argamassa para assentamento de cerâmicas em áreas internas e secas."
"8","Materiais Básicos","Argamassa para Reboco 20kg","Massa pronta para reboco interno e externo, otimizando o tempo de aplicação."
"9","Materiais Básicos","Cal Hidratada CH-III 20kg","Aditivo para argamassas que proporciona maior plasticidade, liga e aeração."
"10","Materiais Básicos","Gesso em Pó Secagem Rápida 40kg","Gesso em pó para pequenos reparos, revestimentos e acabamentos internos."
"11","Materiais Básicos","Impermeabilizante Vedacit 18L","Emulsão asfáltica para impermeabilização de lajes, baldrames e áreas frias."
"12","Materiais Básicos","Manta Asfáltica Alumínio 3mm (Rolo 10m)","Manta para impermeabilização de lajes e telhados expostos, com acabamento de alumínio."
"13","Materiais Básicos","Vergalhão de Aço CA-50 8mm (Barra 12m)","Barra de aço nervurada para armaduras de concreto armado em estribos e estruturas leves."
"14","Materiais Básicos","Vergalhão de Aço CA-60 4,2mm (Rolo)","Aço nervurado de alta resistência, utilizado principalmente para fabricação de estribos."
"15","Materiais Básicos","Areia Fina Lavada (Saco 20kg)","Areia de granulometria fina, ideal para reboco fino e acabamentos."
"16","Materiais Básicos","Bloco de Concreto Vedação 14x19x39cm","Bloco de cimento para alvenaria de vedação (não estrutural)."
"17","Materiais Básicos","Cimento CP-V ARI 50kg","Cimento de Alta Resistência Inicial, indicado para produção de artefatos e desforma rápida."
"18","Materiais Básicos","Tábua de Pinus 30cm x 3m","Tábua de madeira para uso em caixarias, andaimes e construções temporárias."
"19","Materiais Básicos","Pontalete de Eucalipto 3m","Peça de madeira roliça utilizada para escoramento de lajes e vigas."
"20","Materiais Básicos","Tela Soldada Nervurada Q61 2,45x6m","Malha de aço pronta para uso em lajes, pisos industriais e calçadas de concreto."
"21","Materiais Básicos","Argamassa Colante AC-II 20kg","Para assentamento de cerâmicas em áreas externas e fachadas."
"22","Materiais Básicos","Argamassa Colante AC-III 20kg","Uso em piscinas, saunas e para assentamento de porcelanatos. Alta aderência."
