id_item_pedido,id_pedido,id_produto,quantidade,preco_unitario_venda
1,1,122,6.00,27.75
2,1,178,9.00,130.29
3,2,117,8.00,170.41
4,2,24,3.00,169.69
5,2,195,1.00,32.07
6,2,93,1.00,141.70
7,3,79,8.00,82.45
8,3,138,2.00,98.96
9,3,113,5.00,81.42
10,3,93,1.00,141.70
11,4,198,2.00,18.04
12,4,123,8.00,80.89
13,4,153,7.00,109.35
14,4,192,9.00,56.35
15,4,73,3.00,55.51
16,4,53,6.00,39.61
17,4,148,2.00,57.69
18,5,180,7.00,167.43
19,5,145,6.00,156.94
20,5,125,5.00,108.94
21,6,167,10.00,102.76
22,6,5,4.00,116.79
23,6,185,5.00,81.48
24,6,75,6.00,70.30
25,6,161,3.00,91.68
26,6,183,8.00,88.05
27,6,17,2.00,35.86
28,6,67,4.00,65.55
29,7,103,10.00,143.13
30,7,30,10.00,66.44
31,7,34,1.00,120.11
32,7,176,2.00,99.69
33,7,26,2.00,57.85
34,7,110,2.00,76.77
35,8,121,1.00,80.40
36,8,54,3.00,80.27
37,8,131,4.00,141.91
38,8,7,10.00,60.61
39,8,148,8.00,57.69
40,8,142,2.00,82.31
41,8,164,6.00,155.40
42,9,79,5.00,82.45
43,9,179,3.00,67.33
44,10,38,1.00,107.79
45,10,104,6.00,17.81
46,10,28,1.00,118.54
47,10,199,8.00,120.75
48,11,134,5.00,73.35
49,11,43,8.00,140.33
50,11,14,2.00,14.07
51,12,199,8.00,120.75
52,12,186,3.00,33.39
53,12,141,7.00,36.25
54,12,196,1.00,108.34
55,12,54,3.00,80.27
56,12,64,10.00,46.97
57,12,119,3.00,82.28
58,12,88,5.00,131.78
59,13,121,9.00,80.40
60,14,80,2.00,71.15
61,14,101,2.00,120.64
62,14,199,7.00,120.75
63,15,1,1.00,59.67
64,15,31,7.00,95.56
65,15,171,3.00,83.11
66,15,175,5.00,39.77
67,15,175,9.00,39.77
68,15,146,1.00,110.74
69,15,188,7.00,36.87
70,15,52,5.00,126.99
71,15,88,9.00,131.78
72,15,7,6.00,60.61
73,16,112,3.00,17.72
74,16,132,5.00,70.90
75,16,92,9.00,95.54
76,16,161,5.00,91.68
77,16,18,10.00,109.86
78,16,101,7.00,120.64
79,16,150,8.00,82.67
80,16,129,9.00,59.27
81,16,109,1.00,31.42
82,17,16,3.00,108.18
83,17,185,10.00,81.48
84,17,172,6.00,124.10
85,17,194,4.00,50.00
86,18,180,7.00,167.43
87,18,102,7.00,143.32
88,18,117,1.00,170.41
89,19,165,4.00,29.37
90,19,96,3.00,23.96
91,19,145,10.00,156.94
92,19,90,5.00,45.99
93,19,1,7.00,59.67
94,19,5,3.00,116.79
95,20,71,2.00,51.00
96,20,90,10.00,45.99
97,20,60,8.00,86.26
98,20,135,3.00,69.08
99,20,14,7.00,14.07
100,20,39,10.00,126.24
101,20,24,8.00,169.69
102,20,91,10.00,30.96
103,20,119,10.00,82.28
104,21,82,7.00,74.55
105,21,13,4.00,62.36
106,21,107,7.00,140.95
107,21,110,9.00,76.77
108,21,113,4.00,81.42
109,22,111,2.00,77.61
110,22,25,2.00,50.94
111,22,69,3.00,144.63
112,23,130,6.00,82.53
113,23,146,1.00,110.74
114,23,200,9.00,42.11
115,23,87,6.00,70.27
116,23,47,7.00,92.50
117,23,110,8.00,76.77
118,24,108,7.00,128.36
119,25,196,10.00,108.34
120,25,12,3.00,164.13
121,25,58,6.00,170.49
122,26,115,10.00,18.18
123,26,43,1.00,140.33
124,26,172,1.00,124.10
125,26,89,2.00,149.08
126,26,129,7.00,59.27
127,26,40,2.00,14.12
128,26,6,8.00,158.61
129,27,186,9.00,33.39
130,27,109,2.00,31.42
131,27,1,7.00,59.67
132,27,24,8.00,169.69
133,27,44,10.00,146.83
134,27,10,5.00,75.54
135,27,191,6.00,30.62
136,27,133,8.00,85.25
137,27,198,6.00,18.04
138,27,169,6.00,143.39
139,28,50,6.00,45.83
140,28,159,5.00,99.26
141,28,162,8.00,136.96
142,29,77,7.00,121.19
143,29,186,8.00,33.39
144,29,29,4.00,150.77
145,29,84,10.00,135.68
146,29,132,4.00,70.90
147,30,160,4.00,144.77
148,30,44,2.00,146.83
149,30,187,4.00,97.73
150,31,136,5.00,17.95
151,31,65,3.00,36.90
152,31,14,8.00,14.07
153,31,72,7.00,136.86
154,32,159,6.00,99.26
155,32,44,6.00,146.83
156,32,6,6.00,158.61
157,32,105,1.00,115.16
158,32,140,4.00,160.58
159,33,174,9.00,59.66
160,33,99,1.00,40.93
161,34,37,7.00,77.22
162,35,23,8.00,144.07
163,35,75,7.00,70.30
164,35,19,6.00,109.84
165,36,153,5.00,109.35
166,36,24,2.00,169.69
167,37,119,9.00,82.28
168,37,143,9.00,19.36
169,37,36,4.00,179.83
170,37,199,1.00,120.75
171,38,38,4.00,107.79
172,38,193,10.00,44.06
173,38,123,4.00,80.89
174,39,81,9.00,117.84
175,40,185,4.00,81.48
176,40,189,7.00,106.63
177,40,128,2.00,120.44
178,40,120,7.00,27.57
179,40,120,10.00,27.57
180,41,114,4.00,175.85
181,41,27,6.00,52.77
182,42,63,5.00,93.65
183,43,129,4.00,59.27
184,43,166,1.00,145.42
185,43,183,4.00,88.05
186,43,175,5.00,39.77
187,43,84,9.00,135.68
188,43,20,9.00,129.88
189,43,12,7.00,164.13
190,44,195,8.00,32.07
191,44,143,4.00,19.36
192,44,159,8.00,99.26
193,44,122,7.00,27.75
194,45,111,4.00,77.61
195,45,58,3.00,170.49
196,46,166,7.00,145.42
197,46,181,5.00,132.60
198,46,145,2.00,156.94
199,46,121,6.00,80.40
200,46,182,10.00,73.62
201,46,166,5.00,145.42
202,46,113,6.00,81.42
203,46,44,4.00,146.83
204,46,11,3.00,132.19
205,47,181,5.00,132.60
206,47,97,1.00,41.83
207,47,9,10.00,78.00
208,47,88,5.00,131.78
209,47,192,5.00,56.35
210,47,58,2.00,170.49
211,47,157,6.00,139.76
212,48,131,9.00,141.91
213,48,77,4.00,121.19
214,48,77,10.00,121.19
215,48,159,1.00,99.26
216,48,127,2.00,106.10
217,48,176,10.00,99.69
218,48,1,3.00,59.67
219,48,25,10.00,50.94
220,49,26,7.00,57.85
221,49,142,7.00,82.31
222,49,54,4.00,80.27
223,49,152,9.00,103.32
224,49,188,2.00,36.87
225,49,8,7.00,76.10
226,49,61,5.00,62.49
227,50,64,1.00,46.97
228,50,21,5.00,153.55
229,51,27,7.00,52.77
230,51,9,2.00,78.00
231,51,111,4.00,77.61
232,51,32,7.00,81.69
