id_pagamento,id_pedido,valor,metodo_pagamento,data_pagamento,status_pagamento
1,1,1339.11,PIX,2024-02-05 09:45:50,Aprovado
2,2,2046.12,Dinheiro,2024-02-22 08:58:51,Recusado
3,3,1406.32,Boleto,2024-09-28 12:40:08,Aprovado
4,4,2475.37,Boleto,2024-12-19 23:18:43,Aprovado
5,5,2658.35,PIX,2025-02-23 15:54:12,Aprovado
6,6,3637.32,Cartão de Crédito,2024-06-07 04:35:54,Aprovado
7,7,2684.43,PIX,2024-07-23 03:47:52,Aprovado
8,8,3053.49,PIX,2024-10-21 17:26:45,Aprovado
9,9,614.24,PIX,2024-03-29 14:59:03,Aprovado
10,10,1299.19,Boleto,2024-08-18 01:42:16,Aprovado
11,11,1517.53,Cartão de Débito,2025-04-28 03:38:34,Aprovado
12,12,3044.51,Boleto,2024-10-10 04:44:09,Recusado
13,13,723.60,Boleto,2024-04-24 13:47:49,Aprovado
14,14,1228.83,PIX,2024-12-12 17:06:58,Aprovado
15,15,4088.16,Boleto,2024-06-16 19:05:30,Aprovado
16,16,4895.21,Cartão de Débito,2025-03-27 17:47:04,Aprovado
17,17,2083.94,Cartão de Débito,2024-11-14 19:00:29,Aprovado
18,18,2345.66,PIX,2024-03-28 02:25:31,Aprovado
19,19,2756.77,Cartão de Crédito,2024-01-08 08:43:15,Aprovado
20,20,5310.03,Dinheiro,2024-01-16 05:05:10,Aprovado
21,21,2774.55,Cartão de Débito,2024-11-23 05:03:43,Aprovado
22,22,690.99,Cartão de Débito,2024-03-19 06:56:15,Aprovado
23,23,2668.19,Cartão de Crédito,2024-07-22 05:44:57,Aprovado
24,24,898.52,Boleto,2025-03-16 13:28:58,Aprovado
25,25,2598.73,Cartão de Crédito,2024-03-25 09:37:23,Aprovado
26,26,2456.40,PIX,2025-03-14 01:09:38,Aprovado
27,27,5818.86,Dinheiro,2024-04-26 20:45:19,Pendente
28,28,1866.96,Dinheiro,2024-06-13 01:17:34,Aprovado
29,29,3358.93,Boleto,2024-11-01 01:36:57,Aprovado
30,30,1263.66,Cartão de Crédito,2025-02-01 18:54:32,Aprovado
31,31,1271.03,Dinheiro,2024-05-24 17:03:24,Aprovado
32,32,3185.68,Boleto,2024-04-13 11:49:21,Aprovado
33,33,577.87,Boleto,2024-06-20 18:52:57,Aprovado
34,34,540.54,Cartão de Débito,2024-02-05 15:10:50,Aprovado
35,35,2303.70,Cartão de Crédito,2024-02-15 10:32:14,Aprovado
36,36,886.13,Boleto,2025-04-22 10:01:26,Aprovado
37,37,1754.83,Dinheiro,2024-01-30 21:04:25,Aprovado
38,38,1195.32,Dinheiro,2025-05-06 05:30:03,Aprovado
39,39,1060.56,Cartão de Crédito,2024-05-24 05:24:07,Pendente
40,40,1781.90,Dinheiro,2025-01-10 20:15:47,Aprovado
41,41,1020.02,PIX,2025-01-13 09:47:41,Aprovado
42,42,468.25,Boleto,2025-05-02 19:17:09,Aprovado
43,43,4472.50,Cartão de Débito,2024-03-21 19:15:37,Aprovado
44,44,1322.33,Cartão de Débito,2024-11-24 02:14:40,Aprovado
45,45,821.91,PIX,2024-07-04 00:20:16,Aprovado
46,46,5412.93,PIX,2025-01-26 18:19:03,Recusado
47,47,3605.02,Boleto,2025-03-17 04:33:46,Aprovado
48,48,4970.62,Dinheiro,2024-08-17 18:21:11,Aprovado
49,49,3150.97,Boleto,2025-01-18 09:58:43,Aprovado
50,50,814.72,Cartão de Crédito,2025-03-31 09:27:54,Pendente
51,51,4086.45,Cartão de Débito,2025-01-08 06:29:29,Aprovado
52,52,2140.20,Cartão de Crédito,2024-06-05 06:26:51,Recusado
53,53,4767.55,Boleto,2024-12-23 12:23:50,Pendente
54,54,3943.00,PIX,2024-06-01 16:41:16,Aprovado
55,55,2500.30,Cartão de Crédito,2025-02-23 16:45:34,Aprovado
56,56,4046.95,Dinheiro,2025-03-22 17:07:04,Aprovado
57,57,3611.17,PIX,2024-08-13 22:02:56,Recusado
58,58,6385.57,Cartão de Crédito,2024-06-16 02:20:53,Aprovado
59,59,5149.58,Cartão de Crédito,2024-09-21 03:53:31,Aprovado
60,60,4779.14,Cartão de Crédito,2025-02-27 11:30:35,Aprovado
61,61,5585.33,PIX,2025-01-14 09:53:23,Aprovado
62,62,4016.28,Cartão de Crédito,2024-08-19 10:12:02,Recusado
63,63,2314.35,Cartão de Débito,2024-01-05 02:20:29,Aprovado
64,64,1118.08,PIX,2025-02-20 00:29:05,Aprovado
65,65,361.92,Boleto,2025-05-10 17:03:03,Aprovado
66,66,2663.78,PIX,2024-07-30 05:04:30,Aprovado
67,67,2267.01,Cartão de Débito,2025-02-01 01:37:45,Aprovado
68,68,70.27,Boleto,2024-05-23 06:12:00,Aprovado
69,69,4028.26,Cartão de Débito,2024-07-20 10:22:28,Aprovado
70,70,3196.98,Cartão de Débito,2024-10-03 16:18:23,Aprovado
71,71,3440.49,Boleto,2025-04-12 06:52:44,Aprovado
72,72,3654.81,Cartão de Débito,2024-10-14 01:25:45,Aprovado
73,73,5464.67,Cartão de Débito,2025-01-29 22:54:12,Aprovado
74,74,1165.25,PIX,2025-02-27 21:27:22,Aprovado
75,75,1184.13,Cartão de Crédito,2024-06-05 08:01:15,Aprovado
76,76,3133.88,PIX,2024-08-13 22:46:16,Aprovado
77,77,2564.37,Dinheiro,2025-03-01 23:33:13,Aprovado
78,78,5205.77,PIX,2024-03-14 10:13:21,Aprovado
79,79,1549.24,Dinheiro,2024-02-20 18:20:28,Aprovado
80,80,4233.49,PIX,2024-09-02 14:12:50,Aprovado
81,81,2389.84,Cartão de Débito,2024-07-24 02:17:54,Aprovado
82,82,1488.26,Cartão de Crédito,2025-05-21 06:42:13,Aprovado
83,83,1660.79,Boleto,2025-03-02 00:00:49,Aprovado
84,84,5174.39,Cartão de Crédito,2025-03-24 22:48:32,Aprovado
85,85,4701.84,Boleto,2024-10-29 16:01:26,Aprovado
86,86,3213.18,PIX,2025-01-27 05:44:47,Aprovado
87,87,39.61,Cartão de Crédito,2024-12-27 04:30:14,Aprovado
88,88,1443.09,Cartão de Débito,2025-04-05 06:33:03,Aprovado
89,89,871.02,Dinheiro,2024-04-14 04:40:14,Aprovado
90,90,2025.68,PIX,2024-05-23 17:36:11,Aprovado
91,91,1963.62,Cartão de Débito,2024-03-29 05:36:32,Aprovado
92,92,2569.43,PIX,2024-11-22 14:33:26,Aprovado
93,93,3694.41,Cartão de Crédito,2025-03-17 06:34:34,Aprovado
94,94,1845.05,Cartão de Crédito,2024-01-19 00:05:40,Aprovado
95,95,1801.49,PIX,2024-09-15 00:35:41,Aprovado
96,96,4711.64,Cartão de Crédito,2025-01-01 21:43:16,Aprovado
97,97,2505.38,Boleto,2024-01-16 07:26:02,Aprovado
98,98,3722.36,Cartão de Débito,2025-03-16 13:06:42,Aprovado
99,99,6010.18,Cartão de Débito,2025-04-11 07:49:06,Aprovado
100,100,1671.74,Dinheiro,2024-07-08 20:31:08,Aprovado
101,101,2587.15,Cartão de Débito,2024-11-19 01:31:49,Aprovado
102,102,244.96,PIX,2024-07-12 21:47:34,Aprovado
103,103,3670.60,Cartão de Crédito,2024-05-24 17:17:49,Aprovado
104,104,1751.90,Dinheiro,2024-02-17 15:41:12,Aprovado
105,105,3402.74,PIX,2024-10-10 22:39:59,Recusado
106,106,2223.51,Cartão de Débito,2025-05-23 16:51:26,Aprovado
107,107,2731.07,Dinheiro,2024-02-20 05:57:55,Aprovado
108,108,1795.38,Boleto,2024-03-07 17:15:19,Aprovado
109,109,878.00,Dinheiro,2024-02-07 13:39:35,Aprovado
110,110,883.68,Boleto,2024-11-05 14:30:41,Aprovado
111,111,3170.48,Cartão de Débito,2024-01-24 23:11:32,Aprovado
112,112,3682.06,Boleto,2024-07-23 13:43:55,Recusado
113,113,4255.94,Dinheiro,2025-04-09 15:07:49,Aprovado
114,114,4053.80,Cartão de Crédito,2024-08-25 23:38:45,Aprovado
115,115,2651.37,Dinheiro,2024-03-14 02:09:32,Aprovado
116,116,5344.68,Cartão de Crédito,2024-02-06 13:00:49,Aprovado
117,117,4597.69,PIX,2024-09-24 04:17:13,Aprovado
118,118,5259.53,Dinheiro,2024-01-10 10:18:03,Aprovado
119,119,1403.30,Cartão de Débito,2024-06-23 08:58:03,Recusado
120,120,3396.19,Cartão de Débito,2024-02-25 20:18:39,Aprovado
121,121,485.96,Boleto,2024-10-03 01:25:51,Aprovado
122,122,483.49,Cartão de Débito,2024-10-26 10:05:20,Aprovado
123,123,2211.51,Dinheiro,2024-04-20 04:33:22,Aprovado
124,124,1525.13,Dinheiro,2025-03-21 06:53:25,Aprovado
125,125,4951.48,PIX,2025-02-14 21:00:02,Aprovado
126,126,986.65,Dinheiro,2024-03-29 12:54:50,Aprovado
127,127,721.00,PIX,2024-02-16 08:56:42,Aprovado
128,128,3353.51,Dinheiro,2024-07-22 08:54:22,Aprovado
129,129,3621.57,Cartão de Débito,2024-04-01 07:00:53,Aprovado
130,130,1773.24,Dinheiro,2024-12-02 16:08:38,Aprovado
131,131,1975.41,Dinheiro,2024-07-20 19:56:45,Aprovado
132,132,664.43,Boleto,2024-09-06 13:41:19,Aprovado
133,133,99.69,Dinheiro,2024-04-14 14:19:19,Aprovado
134,134,6114.02,PIX,2025-01-04 10:26:44,Aprovado
135,135,1648.41,Boleto,2024-06-19 14:15:48,Aprovado
