id_pedido,id_cliente,id_funcionario,id_endereco_entrega,data_pedido,valor_total,status_pedido
1,12,1,12,2024-02-05 09:33:56,1339.11,Entregue
2,90,2,90,2024-02-22 08:33:31,2046.12,Cancelado
3,61,4,61,2024-09-28 12:31:33,1406.32,Entregue
4,102,5,102,2024-12-19 23:06:30,2475.37,Entregue
5,27,2,27,2025-02-23 15:21:37,2658.35,Entregue
6,17,5,17,2024-06-07 04:16:24,3637.32,Entregue
7,84,5,84,2024-07-23 03:39:30,2684.43,Entregue
8,5,4,5,2024-10-21 16:57:06,3053.49,Entregue
9,32,3,32,2024-03-29 14:24:08,614.24,Entregue
10,22,5,22,2024-08-18 00:54:15,1299.19,Entregue
11,136,1,136,2025-04-28 03:18:07,1517.53,Entregue
12,141,4,141,2024-10-10 04:39:51,3044.51,Cancelado
13,78,2,78,2024-04-24 13:24:00,723.60,Entregue
14,107,2,107,2024-12-12 17:06:55,1228.83,Entregue
15,37,2,37,2024-06-16 18:19:03,4088.16,Entregue
16,86,3,86,2025-03-27 16:57:33,4895.21,Entregue
17,62,3,62,2024-11-14 18:45:11,2083.94,Entregue
18,89,1,89,2024-03-28 01:41:38,2345.66,Entregue
19,41,1,41,2024-01-08 07:44:54,2756.77,Entregue
20,121,1,121,2024-01-16 05:00:22,5310.03,Entregue
21,95,5,95,2024-11-23 04:25:57,2774.55,Entregue
22,73,3,73,2024-03-19 06:02:51,690.99,Entregue
23,115,1,115,2024-07-22 05:20:57,2668.19,Entregue
24,129,1,129,2025-03-16 13:17:37,898.52,Entregue
25,103,5,103,2024-03-25 08:39:30,2598.73,Entregue
26,44,3,44,2025-03-14 00:13:27,2456.40,Entregue
27,57,1,57,2024-04-26 20:20:56,5818.86,Aguardando Pagamento
28,31,4,31,2024-06-13 01:15:51,1866.96,Entregue
29,48,3,48,2024-11-01 01:18:08,3358.93,Entregue
30,65,2,65,2025-02-01 18:54:32,1263.66,Entregue
31,112,4,112,2024-05-24 16:04:24,1271.03,Entregue
32,34,1,34,2024-04-13 11:14:06,3185.68,Entregue
33,8,3,8,2024-06-20 18:37:44,577.87,Entregue
34,136,4,136,2024-02-05 14:41:16,540.54,Entregue
35,127,4,127,2024-02-15 09:37:24,2303.70,Entregue
36,148,1,148,2025-04-22 09:04:14,886.13,Entregue
37,126,2,126,2024-01-30 20:59:59,1754.83,Entregue
38,83,3,83,2025-05-06 05:06:40,1195.32,Entregue
39,49,3,49,2024-05-24 04:28:29,1060.56,Aguardando Pagamento
40,66,3,66,2025-01-10 19:23:46,1781.90,Entregue
41,74,5,74,2025-01-13 09:18:09,1020.02,Entregue
42,112,2,112,2025-05-02 18:43:23,468.25,Entregue
43,73,4,73,2024-03-21 18:46:12,4472.50,Entregue
44,103,5,103,2024-11-24 02:13:54,1322.33,Entregue
45,38,2,38,2024-07-03 23:48:46,821.91,Entregue
46,128,4,128,2025-01-26 18:16:38,5412.93,Cancelado
47,140,3,140,2025-03-17 03:36:24,3605.02,Entregue
48,81,5,81,2024-08-17 17:48:00,4970.62,Entregue
49,1,2,1,2025-01-18 09:08:13,3150.97,Entregue
50,59,3,59,2025-03-31 09:22:49,814.72,Aguardando Pagamento
51,28,4,28,2025-01-08 05:47:49,4086.45,Entregue
52,80,3,80,2024-06-05 06:22:55,2140.20,Cancelado
53,32,5,32,2024-12-23 11:44:21,4767.55,Aguardando Pagamento
54,70,2,70,2024-06-01 15:55:27,3943.00,Entregue
55,16,2,16,2025-02-23 16:34:15,2500.30,Entregue
56,67,4,67,2025-03-22 16:27:21,4046.95,Entregue
57,85,5,85,2024-08-13 21:49:59,3611.17,Cancelado
58,86,2,86,2024-06-16 02:03:40,6385.57,Entregue
59,13,3,13,2024-09-21 03:02:16,5149.58,Entregue
60,141,1,141,2025-02-27 11:06:23,4779.14,Entregue
61,115,4,115,2025-01-14 09:19:17,5585.33,Entregue
62,7,3,7,2024-08-19 10:11:39,4016.28,Cancelado
63,138,3,138,2024-01-05 02:09:45,2314.35,Entregue
64,127,4,127,2025-02-19 23:29:43,1118.08,Entregue
65,47,3,47,2025-05-10 16:21:00,361.92,Entregue
66,68,1,68,2024-07-30 04:35:23,2663.78,Entregue
67,28,3,28,2025-02-01 00:57:13,2267.01,Entregue
68,65,1,65,2024-05-23 06:10:05,70.27,Entregue
69,34,1,34,2024-07-20 10:19:38,4028.26,Entregue
70,16,2,16,2024-10-03 15:39:58,3196.98,Entregue
71,18,4,18,2025-04-12 06:35:39,3440.49,Entregue
72,74,4,74,2024-10-14 01:05:14,3654.81,Entregue
73,123,1,123,2025-01-29 22:23:18,5464.67,Entregue
74,107,5,107,2025-02-27 20:31:27,1165.25,Entregue
75,16,4,16,2024-06-05 07:54:19,1184.13,Entregue
76,70,5,70,2024-08-13 22:19:51,3133.88,Entregue
77,106,1,106,2025-03-01 23:14:16,2564.37,Entregue
78,109,4,109,2024-03-14 09:53:04,5205.77,Entregue
79,63,1,63,2024-02-20 17:33:23,1549.24,Entregue
80,50,2,50,2024-09-02 13:18:01,4233.49,Entregue
81,117,1,117,2024-07-24 01:44:43,2389.84,Entregue
82,16,5,16,2025-05-21 05:49:01,1488.26,Entregue
